
<html>
 <head>
  <title>California Weather Data: Comma-delimited data file--UC IPM</title>
 </head>
 <body>
 <pre>
"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve <a href=#COLHDR>data in comma delimited data file format</a>"
" "
"Weather database request:  "
" "
"Time Period: March 1, 1998 to August 16, 2020, retrieved on August 17, 2020"
" (8205 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station SJ_VALLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         7504          610            5           86            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Air Temps, max/min    7890          216           23           76            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Soil Temps, max/min   7897            0            0            0          308        "
"                     SJ_VALLEY.A  none         none         none         "
"Rel. Humidity         7841            0            0            0          364        "
"                     SJ_VALLEY.A  none         none         none         "
"ETo                   7969            0            0            0          236        "
"                     SJ_VALLEY.A  none         none         none         "
"Solar Radiation       7888          218            0           99            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   none         SANJOSE.A    "
"Wind Speed & Dir      7943            0            0            0          262        "
"                     SJ_VALLEY.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
<a name=COLHDR>" "</a>
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SJ_VALLEY.A,19980301,2359,0.00,,63,44,,,NE,3,,,57,52,,318,0.07,98.5,67.8,
SJ_VALLEY.A,19980302,2359,0.00,,64,44,,,NE,5,,,58,53,,444,0.12,96.1,64.1,
SJ_VALLEY.A,19980303,2359,0.07,,62,41,,,E,4,,,59,55,,329,0.08,99.2,56.7,
SJ_VALLEY.A,19980304,2359,0.00,,63,38,,,NE,3,,,57,51,,450,0.10,95.6,39.9,
SJ_VALLEY.A,19980305,2359,0.22,,51,35,,,NE,3,,,53,49,,117,0.01,100.0,75.5,
SJ_VALLEY.A,19980306,2359,0.05,,58,37,,,E,5,,,55,49,,484,0.11,96.5,52.3,
SJ_VALLEY.A,19980307,2359,0.07,,56,31,,,NE,3,,,52,47,,226,0.05,100.0,53.5,
SJ_VALLEY.A,19980308,2359,0.00,,66,44,,,NE,3,,,56,50,,434,0.10,98.0,60.2,
SJ_VALLEY.A,19980309,2359,0.00,,70,36,,,N,4,,,56,50,,496,0.12,100.0,43.8,
SJ_VALLEY.A,19980310,2359,0.00,,75,36,,,NE,3,,,57,49,,493,0.13,95.3,43.0,
SJ_VALLEY.A,19980311,2359,0.00,,77,39,,,NE,3,,,58,50,,471,0.12,99.1,36.5,
SJ_VALLEY.A,19980312,2359,0.00,,65,43,,,NE,4,,,56,52,,207,0.05,99.8,68.3,
SJ_VALLEY.A,19980313,2359,0.13,,62,48,,,NE,4,,,59,54,,394,0.10,100.0,66.3,
SJ_VALLEY.A,19980314,2359,0.00,,66,41,,,NE,4,,,59,53,,498,0.12,100.0,68.5,
SJ_VALLEY.A,19980315,2359,0.00,,68,48,,,NE,4,,,60,55,,383,0.10,99.2,72.4,
SJ_VALLEY.A,19980316,2359,0.00,,66,48,,,NE,4,,,59,56,,233,0.05,100.0,76.7,
SJ_VALLEY.A,19980317,2359,0.00,,65,46,,,NE,3,,,59,56,,221,0.04,100.0,77.3,
SJ_VALLEY.A,19980318,2359,0.00,,70,45,,,NE,5,,,60,55,,460,0.12,100.0,68.5,
SJ_VALLEY.A,19980319,2359,0.00,,63,50,,,NE,6,,,60,57,,432,0.11,99.5,82.0,
SJ_VALLEY.A,19980320,2359,0.00,,59,54,,,E,4,,,58,57,,102,0.01,99.1,83.0,
SJ_VALLEY.A,19980321,2359,0.00,,65,51,,,NE,5,,,60,56,,333,0.09,97.3,71.7,
SJ_VALLEY.A,19980322,2359,0.00,,69,48,,,NE,5,,,61,56,,400,0.11,99.6,69.1,
SJ_VALLEY.A,19980323,2359,0.01,,78,43,,,NE,5,,,62,55,,539,0.17,100.0,45.1,
