"Notes","County","County Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average Age of Mother,Standard Deviation for Average Age of Mother,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,"Baldwin County, AL","01003",2322,212628,10.92,37199,62.42,3286.81,568.19,27.96,5.66,38.51,2.43,38.35,1.87
,"Calhoun County, AL","01015",1338,114728,11.66,22295,60.01,3194.95,630.04,26.46,5.45,38.40,2.78,38.25,2.20
,"Etowah County, AL","01055",1213,102755,11.80,18962,63.97,3228.29,602.32,26.29,5.53,38.48,2.86,38.29,2.29
,"Houston County, AL","01069",1295,104346,12.41,20090,64.46,3205.30,607.49,26.82,5.55,38.36,2.89,38.32,2.26
,"Jefferson County, AL","01073",8706,659197,13.21,135840,64.09,3150.12,630.69,28.32,5.66,38.25,2.95,38.27,2.45
,"Lee County, AL","01081",1898,161604,11.74,39190,48.43,3230.81,586.63,28.10,5.45,38.56,2.50,38.36,2.05
,"Madison County, AL","01089",4253,361046,11.78,71306,59.64,3214.86,596.63,28.42,5.52,38.21,2.48,38.13,2.04
,"Mobile County, AL","01097",5607,413955,13.54,83203,67.39,3158.62,616.05,27.10,5.56,38.27,2.81,38.07,2.31
,"Montgomery County, AL","01101",3172,226646,14.00,47793,66.37,3099.50,602.27,27.15,5.74,38.18,2.67,38.08,2.28
,"Morgan County, AL","01103",1435,118818,12.08,21344,67.23,3201.54,601.45,26.70,5.64,38.15,2.65,38.12,2.16
,"Shelby County, AL","01117",2283,213605,10.69,41893,54.50,3285.29,602.68,29.49,5.46,38.41,2.76,38.43,2.19
,"Tuscaloosa County, AL","01125",2538,207811,12.21,49857,50.91,3181.21,638.60,27.43,5.42,38.31,2.94,38.16,2.40
,"Unidentified Counties, AL","01999",22881,1977608,11.57,360977,63.39,3193.14,606.92,26.56,5.46,38.29,2.74,38.18,2.16
,"Anchorage Borough, AK","02020",4136,294356,14.05,62382,66.30,3354.98,588.44,28.92,5.69,38.73,2.47,38.59,2.09
,"Unidentified Counties, AK","02999",6309,445439,14.16,83690,75.39,3420.12,593.30,28.09,5.59,38.84,2.37,38.67,2.06
,"Cochise County, AZ","04003",1335,124756,10.70,20155,66.24,3240.94,552.38,27.28,5.70,38.64,2.32,38.59,1.96
,"Coconino County, AZ","04005",1508,140776,10.71,34341,43.91,3203.90,590.22,28.14,5.87,38.53,2.49,38.43,1.98
,"Maricopa County, AZ","04013",52633,4307033,12.22,866825,60.72,3283.50,577.08,28.53,5.84,38.55,2.49,38.49,2.04
,"Mohave County, AZ","04015",1753,207200,8.46,28032,62.54,3262.84,559.15,26.97,5.64,38.61,2.46,38.50,1.86
,"Navajo County, AZ","04017",1508,108956,13.84,18568,81.21,3223.79,592.31,26.94,5.86,38.47,2.84,38.42,2.11
,"Pima County, AZ","04019",10983,1022769,10.74,197772,55.53,3268.19,557.64,28.16,5.80,38.53,2.33,38.57,1.94
,"Pinal County, AZ","04021",4392,430237,10.21,72097,60.92,3311.21,569.06,27.72,5.77,38.58,2.37,38.49,1.95
,"Yavapai County, AZ","04025",1798,228168,7.88,30199,59.54,3254.89,569.89,27.34,5.78,38.72,2.58,38.49,2.04
,"Yuma County, AZ","04027",2960,207534,14.26,37540,78.85,3365.06,555.89,27.01,5.61,38.75,2.56,38.56,1.93
,"Unidentified Counties, AZ","04999",3002,238841,12.57,40235,74.61,3256.95,573.25,27.15,5.89,38.55,2.64,38.40,2.11
,"Benton County, AR","05007",3713,266300,13.94,54528,68.09,3296.20,568.21,28.19,5.55,38.60,2.39,38.34,1.99
